CODGEO;DEP;LIBGEO;Zonage ABC en vigueur depuis le 26 juin 2026
02465;02;Marigny-en-Orxois;B2
02466;02;Marizy-Sainte-Geneviève;C
02467;02;Marizy-Saint-Mard;C
02468;02;Marle;C
02469;02;Marly-Gomont;C
02470;02;Martigny;C
02471;02;Martigny-Courpierre;C
02472;02;Mauregny-en-Haye;C
02473;02;Mayot;C
02474;02;Mennessis;C
02476;02;Mennevret;C
02477;02;Mercin-et-Vaux;B2
02478;02;Merlieux-et-Fouquerolles;C
02480;02;Mesbrecourt-Richecourt;C
02481;02;Mesnil-Saint-Laurent;B2
02482;02;Meurival;C
02483;02;Mézières-sur-Oise;C
02484;02;Mézy-Moulins;C
02485;02;Missy-aux-Bois;C
02486;02;Missy-lès-Pierrepont;C
02487;02;Missy-sur-Aisne;C
02488;02;Molain;C
02489;02;Molinchart;C
02490;02;Monampteuil;C
02491;02;Monceau-le-Neuf-et-Faucouzy;C
02492;02;Monceau-lès-Leups;C
02493;02;Monceau-le-Waast;C
02494;02;Monceau-sur-Oise;C
02495;02;Mondrepuis;C
02496;02;Monnes;B2
02497;02;Mons-en-Laonnois;C
02498;02;Montaigu;C
02499;02;Montbavin;C
02500;02;Montbrehain;C
02501;02;Montchâlons;C
02502;02;Montcornet;C
02503;02;Mont-d'Origny;C
02504;02;Montescourt-Lizerolles;C
02505;02;Montfaucon;C
02506;02;Montgobert;C
02507;02;Montgru-Saint-Hilaire;C
02508;02;Monthenault;C
02509;02;Monthiers;C
02510;02;Monthurel;C
02511;02;Montigny-en-Arrouaise;C
02512;02;Montigny-l'Allier;B2
02513;02;Montigny-le-Franc;C
02514;02;Montigny-Lengrain;C
02515;02;Montigny-lès-Condé;C
02516;02;Montigny-sous-Marle;C
02517;02;Montigny-sur-Crécy;C
02518;02;Montlevon;C
02519;02;Montloué;C
02520;02;Mont-Notre-Dame;C
02521;02;Montreuil-aux-Lions;B2
02522;02;Mont-Saint-Jean;C
